"Templatestudio","Templatestudio"
"Template Studio","Template Studio"
"License not found","License not found"
"Doesn't require license","Doesn't require license"
"There are no Template Studio extensions installed.","There are no Template Studio extensions installed."
"Update available","Update available"
"Get in touch","Get in touch"
"Module Name","Module Name"
"General Information","General Information"
"Installed Extensions","Installed Extensions"
"Notifications","Notifications"
"Enabled","Enabled"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"Update Frequency","Update Frequency"
"Last Update","Last Update"
